City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,265.19,73,1,1.81,IS,1707356888
1,port mathurin,-19.6833,63.4167,299.77,79,73,8.36,MU,1707356888
2,monte carmelo,-18.7247,-47.4986,293.86,89,100,1.43,BR,1707356889
3,adamstown,-25.066,-130.1015,297.87,79,100,6.23,PN,1707356889
4,port-aux-francais,-49.35,70.2167,277.75,76,80,13.13,TF,1707356685
5,grytviken,-54.2811,-36.5092,282.65,64,100,6.32,GS,1707356889
6,balti,47.7617,27.9289,280.84,79,80,3.53,MD,1707356889
7,crookston,47.7741,-96.6081,278.76,81,100,4.63,US,1707356889
8,carnarvon,-24.8667,113.6333,305.43,39,0,1.96,AU,1707356889
9,waitangi,-43.9535,-176.5597,293.05,80,100,0.89,NZ,1707356684
10,ushuaia,-54.8,-68.3,281.94,66,40,6.17,AR,1707356825
11,lorengau,-2.0226,147.2712,301.21,80,100,8.99,PG,1707356889
12,usogorsk,63.4106,48.6872,258.52,96,100,3.79,RU,1707356890
13,mogadishu,2.0371,45.3438,299.44,83,40,9.37,SO,1707356890
14,edinburgh of the seven seas,-37.0676,-12.3116,290.35,67,100,2.71,SH,1707356890
15,coahuayana de hidalgo,18.7,-103.6583,295.72,90,9,1.44,MX,1707356890
16,albany,42.6001,-73.9662,274.77,70,28,0.79,US,1707356728
17,guatire,10.4762,-66.5427,299.37,98,64,1.27,VE,1707356890
18,thompson,55.7435,-97.8558,258.24,85,100,2.57,CA,1707356890
19,codrington,-38.2667,141.9667,293.57,50,1,6.06,AU,1707356890
20,masjed soleyman,31.9364,49.3039,284.72,55,0,1.09,IR,1707356890
21,kone,-21.0595,164.8658,298.28,87,100,2.63,NC,1707356890
22,alofi,-19.0595,-169.9187,304.09,70,75,3.6,NU,1707356797
23,castillos,-34.1667,-53.8333,294.79,87,41,2.73,UY,1707356890
24,bethel,41.3712,-73.414,276.61,59,100,0.0,US,1707356841
25,slave lake,55.2834,-114.769,268.14,86,100,2.06,CA,1707356890
26,hamilton,39.1834,-84.5333,282.82,54,0,3.09,US,1707356891
27,lihue,21.9789,-159.3672,300.73,70,20,6.69,US,1707356882
28,gourdon,44.75,1.5,282.97,95,100,2.37,FR,1707356891
29,wailua homesteads,22.0669,-159.378,300.39,71,20,6.69,US,1707356691
30,olonkinbyen,70.9221,-8.7187,270.39,59,91,6.36,SJ,1707356891
31,bredasdorp,-34.5322,20.0403,291.24,79,52,2.68,ZA,1707356891
32,muli,2.9167,73.5667,300.95,71,98,6.48,MV,1707356891
33,vilyuchinsk,52.9306,158.4028,266.44,79,100,1.06,RU,1707356891
34,mariental,-24.6333,17.9667,299.05,35,100,3.36,NA,1707356891
35,aasiaat,68.7098,-52.8699,254.27,96,100,3.91,GL,1707356891
36,beihai,21.4833,109.1,282.84,86,100,7.88,CN,1707356891
37,tiksi,71.6872,128.8694,252.56,100,100,2.34,RU,1707356891
38,dadhar,29.4753,67.6514,287.12,56,0,0.6,PK,1707356891
39,sungailiat,-1.85,106.1333,298.6,90,100,3.76,ID,1707356891
40,udachny,66.4167,112.4,247.84,75,100,1.11,RU,1707356689
41,bilibino,68.0546,166.4372,238.91,100,98,0.32,RU,1707356891
42,puerto natales,-51.7236,-72.4875,281.71,83,93,6.15,CL,1707356845
43,blackmans bay,-43.0167,147.3167,297.89,54,0,0.89,AU,1707356892
44,kabalo,-6.05,26.9167,293.75,98,100,0.94,CD,1707356892
45,port saint john's,-31.6229,29.5448,293.5,80,12,2.39,ZA,1707356892
46,grand falls-windsor,48.9332,-55.6649,259.15,99,66,1.62,CA,1707356892
47,talnakh,69.4865,88.3972,247.88,89,32,1.91,RU,1707356892
48,ust-nera,64.5667,143.2,246.2,97,100,1.03,RU,1707356892
49,mata-utu,-13.2816,-176.1745,302.19,81,100,8.09,WF,1707356892
50,vodice,43.7608,15.7828,283.54,87,15,4.12,HR,1707356892
51,college,64.8569,-147.8028,258.33,72,75,0.0,US,1707356892
52,invercargill,-46.4,168.35,287.6,75,82,7.6,NZ,1707356892
53,port elizabeth,-33.918,25.5701,292.77,79,0,6.17,ZA,1707356892
54,mitu,1.1983,-70.1733,297.69,87,63,0.38,CO,1707356893
55,margaret river,-33.95,115.0667,300.34,35,0,1.62,AU,1707356682
